"Sr No
(link to coverage)",Test Written,Coverpoint Written,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,,Normative Rules,Notes,Spec,Spec,
,,cannot be tested,,"When rs2=x0, then an implementation is allowed, but not required, to perform fewer memory operations than the number of active elements, and may perform different numbers of memory operations across different dynamic executions of the same static instruction.",,,,,,,,,,
,,Checked by generated instructions,,"When rs2!=x0 and the value of x[rs2]=0, the implementation must perform one memory access for each active element (but these accesses will not be ordered).",,,,,,,,,,
All Fault only first instructions,,,,,,,,,,,,,,
cp_custom_ffLS_update_vl,,,Confirm that if an execption is raised on a non-zero element that the instruction does not trap and instead sets vl accordingly,"With vl = vlmax run all fault-only-first loads with rs1  = 0, lmul=2 and masked with v0 = 1

This arrangement should cause a load to occur that will trap, but not on the first element so instead of trapping vl should be updated",Instruction does not trap and instead VL is set to 2 (if vlmax is not 1),1,,,,,,"The unit-stride fault-only-first load instructions are used to vectorize loops with data-dependent exit conditions (""while"" loops). These instructions execute as a regular load except that they will only take a trap caused by a synchronous exception on element 0. If element 0 raises an exception, vl is not modified, and the trap is taken. If an element > 0 raises an exception, the corresponding trap is not taken, and the vector length vl is reduced to the index of the element that would have raised an exception.",,
,,Untested / covered by above,,"Load instructions may overwrite active destination vector register group elements past the element index at which the trap is reported. Similarly, fault-only-first load instructions may update active destination elements past the element that causes trimming of the vector length (but not past the original vector length). The values of these spurious updates do not have to correspond to the values in memory at the addressed memory locations. Non-idempotent memory locations can only be accessed when it is known the corresponding element load operation will not be restarted due to a trap or vector-length trimming.",,,,,,,,,,
,,cannot be tested,,"Even when an exception is not raised, implementations are permitted to process fewer than vl elements and reduce vl accordingly, but if vstart=0 and vl>0, then at least one element must be processed.",,,,,,,,,,
,,cannot be tested,,"When the fault-only-first instruction takes a trap due to an interrupt, implementations should not reduce vl and should instead set a vstart value.",,,,,,,,,,
,,cannot be tested,,"When the fault-only-first instruction would trigger a debug data-watchpoint trap on an element after the first, implementations should not reduce vl but instead should trigger the debug trap as otherwise the event might be lost.",,,,,,,,,,
,,cannot be tested,,"For segment loads and stores, the individual memory accesses used to access fields within each segment are unordered with respect to each other even for ordered indexed segment loads and stores.",,,,,,,,,,
,,cannot be tested,,"The vstart value is in units of whole segments. If a trap occurs during access to a segment, it is implementation-defined whether a subset of the faulting segment’s accesses are performed before the trap is taken.",,,,,,,,,,
,,cannot be tested,,"For fault-only-first segment loads, if an exception is detected partway through accessing a segment, regardless of whether the element index is zero, it is implementation-defined whether a subset of the segment is loaded.",,,,,,,,,,
,,cannot be tested,,Segment loads and stores: These instructions may overwrite destination vector register group elements past the point at which a trap is reported or past the point at which vector length is trimmed.,,,,,,,,,,
,,cannot be tested,,"Accesses to the fields within each segment can occur in any order, including the case where the byte stride is such that segments overlap in memory.",,,,,,,,,,
,,cannot be tested,,"Even for the ordered form of segmented indexed loads, accesses to the fields within an individual segment are not ordered with respect to each other.",,,,,,,,,,
Whole register loads and stores and mask loads and stores,,,,,,,,,,,,,,
,,Covered by generated coverpoints,Confrim that instructions operate based on evl rather than vl with regards to vstart and that they propperly stop at evl,"run instruction with vl = 0

If the isntruction uses vl then it would not execute, but should since it uses evl",Instruction successfully executes,1,,,,,,,"The instructions (whole register loads/stores) operate with an effective vector length, evl=NFIELDS*VLEN/EEW, regardless of current settings in vtype and vl. The usual property that no elements are written if vstart ≥ vl does not apply to these instructions. Instead, no elements are written if vstart ≥ evl.","Additional unit-stride mask load and store instructions are provided to transfer mask values to/from memory. These operate similarly to unmasked byte loads or stores (EEW=8), except that the effective vector length is evl=ceil(vl/8) (i.e. EMUL=1)"
,,(non-zero vstart doesnt have to be supported),Confirm that vstart is checked against evl rather than vl with regards to instruction execution,,,,,,,,,,"The instructions (whole register loads/stores) operate with an effective vector length, evl=NFIELDS*VLEN/EEW, regardless of current settings in vtype and vl. The usual property that no elements are written if vstart ≥ vl does not apply to these instructions. Instead, no elements are written if vstart ≥ evl.","Additional unit-stride mask load and store instructions are provided to transfer mask values to/from memory. These operate similarly to unmasked byte loads or stores (EEW=8), except that the effective vector length is evl=ceil(vl/8) (i.e. EMUL=1)"
,,,,,,,,,,,,,,
,,Covered by generated coverpoints,,"Allowing mask-generating instructions to write back the result of the instruction avoids the need for logic to mask out the tail, except mask loads cannot write memory values to destination mask tails as this would imply accessing memory past software intent.",,,,,,,,,,
,,Covered by generated coverpoints,,Interaction of SEW and EEW in register loads and stores with index instructions ,,,,,,,,,,
,,cannot be tested,,fault-only-first load instructions may update active destination elements past the element that causes trimming of the vector length (but not past the original vector length). The values of these spurious updates do not have to correspond to the values in memory at the addressed memory locations. ,"cause an exception on non-zero element of the register, make sure it happens on an element where index < vl < VLMAX",,,,,,,,,
,,cannot be tested,,Load instructions may overwrite active destination vector register group elements past the element index at which the trap is reported. The values of these spurious updates do not have to correspond to the values in memory at the addressed memory locations. ,"cause an exception on non-zero element of the register, make sure it happens on an element where index < vl < VLMAX",,,,,,,,,
,,cannot be tested,,(above) Non-idempotent memory locations can only be accessed when it is known the corresponding element load operation will not be restarted due to a trap or vector-length trimming.,,,,,,,,,,
,,cannot be tested,,"When the fault-only-first instruction takes a trap due to an interrupt, implementations should not reduce vl and should instead set a vstart value.",,,,,,,,,,
,,cannot be tested,,"Vector unit-stride and constant-stride memory accesses do not guarantee ordering between individual element accesses. The vector indexed load and store memory operations have two forms, ordered and unordered. The indexed-ordered variants preserve element ordering on memory accesses.",,,,,,,,,,
All Indexed instructions,,,,,,,,,,,,,,
cp_custom_indexed_emul_data_only_lmul*_nf*,,, Verify EMUL*NFIELDS <= 8 constraint applies to data register group only,"Execute a segmented indexed vector load/store at the data LMUL*NFIELDS = 8 boundary (LMUL=1/NFIELDS=8,LMUL=2/NFIELDS=4, LMUL=4/NFIELDS=2)","The instruction completes without trapping, confirming the EMULNFIELDS <= 8 constraint is only checked against the data group (EMUL=LMUL), not the index group (where EMULNFIELDS may exceed 8).",,,,,,,"The data vector register group has EEW=SEW, EMUL=LMUL, while the index vector register group has EEW encoded in the instruction with EMUL=(EEW/SEW)*LMUL. The EMUL * NFIELDS ≤ 8 constraint applies to the data vector register group. (doesnt say it applies to the index register group so make sure this is the case)",,
Mask producing instructions,,,,,,,,,,,,,,
cp_custom_masked_vs*_v0,,,Verify correct execution when an instruction is masked and uses v0 as a source operand   ,"Run a masked instruction (vm=0) with vs2=v0 and seperately vs1=v0 so that v0 serves as both the mask source and a data source operand, with vill=0, vstart=0, vl!=0, and vd!=v0",The instruction completes without trapping and produces correct results when v0 is used as both the mask source and a data source operand. The destination register must not be v0 to avoid overlap with the mask.,,,,,,Ensure instructions run correctly when masked and a register being v0 when allowed,,,
