"Sr No
(link to coverage)",Feature,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Feature covered,Notes,Spec,,Normative Rules
cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,,Confirm that with widening instructions (must end in .v*) vs2 = vd is illegal,"Conduct a widening operation with lmul=1, vs2 = vd and vd group aligned. vs1 should not overlap vd

The vd and vs2 register groups overlapping in this manner is illegal",trap,1,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,EEW; EMUL; vreg_overlap_legal; vreg_overlap_rsv; vwop_vd_eew_emul
cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,,Confirm that with widening instructions (must end in .w*) vs1 = vd is illegal,"Conduct a widening operation with lmul=1, vs1 = vd and vd group aligned. vs2 should not overlap vd

The vd and vs1 register groups overlapping in this manner is illegal",trap,1,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,vreg_overlap_legal; vreg_overlap_rsv; vwop_vd_eew_emul
All narrowing instructions,,,,,,,,,,,,
cp_ssstrictv_vnarrow_overlapping_vd_vs2,,"Confirm that with narrowing instructions, vs2 = vd is illegal","Conduct a narrowing operation with lmul=1, vs1 = vd and vs2 group aligned. vs2 should not overlap vs1

The vd and vs2 register groups overlapping in this manner is illegal",trap,1,,,,,"The destination EEW is smaller than the source EEW and the overlap is in the lowest-numbered part of the source register group (e.g., when LMUL=1, vnsrl.wi v0, v0, 3 is legal, but a destination of v1 is not).",,vnarrowing_EEW; vnarrowing_EMUL; vreg_overlap_legal; vreg_overlap_rsv
cp_ssstrictv_widening_vd_emul_16,,Confrim that with all widening instructions (ending in .v* and .w* exluding the widening reduction instructions) that EMUL>=16 traps,"Set sew = {supported} and lmul = {8} and confrim that the instruction traps

sew needs to be supported to ensure the instruction doesnt trap due to vill, lmul of 8 will imply an emul of 16 with widening instructions",trap,1,,,,,"The largest vector register group used by an instruction can not be greater than 8 vector registers (i.e., EMUL≤8), and if a vector instruction would require greater than 8 vector registers in a group, the instruction encoding is reserved. For example, a widening operation that produces a widened vector register group result when LMUL=8 is reserved as this would imply a result EMUL=16.",,EMUL_SEW_LMUL_dep; EMUL_rsv; vwop_vd_eew_emul
cp_ssstrictv_narrowing_vs2_emul_16,,Confrim that with all narrowing instructions that EMUL>=16 traps,"Set sew = {supported} and lmul = {8} and confrim that the instruction traps

sew needs to be supported to ensure the instruction doesnt trap due to vill, lmul of 8 will imply an emul of 16 with narrowing instructions",trap,1,,,,,"The largest vector register group used by an instruction can not be greater than 8 vector registers (i.e., EMUL≤8), and if a vector instruction would require greater than 8 vector registers in a group, the instruction encoding is reserved. For example, a widening operation that produces a widened vector register group result when LMUL=8 is reserved as this would imply a result EMUL=16.",,EMUL_rsv; vnarrowing_EEW; vnarrowing_EMUL
cp_ssstrictv_widening_vd_sew_eq_elen,,"Confirm for all widening instructions (.v*, .w* and reduction) that if SEW=ELEN the instruction traps","Set sew = {8,16,32,64} and lmul = {1}, vd = 8, vs2 = 10, vs1 = 12

Attempt to set all sew as this is simpler than figuring out SEW_MAX, the instruction should only trap for the highest SEW. Registers were chosen to ensure the instruction doesnt trap due to register overlap",trap,4 sew bins,,,,,,,EEW; ELEN; EMUL_SEW_LMUL_dep; RESERVED_VILL_SET; V_supported_eew; vnarrowing_EEW; vnarrowing_EMUL; vreduction_trap; vwop_vd_eew_emul
cp_ssstrictv_narrowing_vs2_sew_eq_elen,,Confirm for all narrowing instructions that if SEW=ELEN the instruction traps,"Set sew = {8,16,32,64} and lmul = {1}, vd = 8, vs2 = 10, vs1 = 12

Attempt to set all sew as this is simpler than figuring out SEW_MAX, the instruction should only trap for the highest SEW. Registers were chosen to ensure the instruction doesnt trap due to register overlap",trap,4 sew bins,,,,,,,ELEN; V_supported_eew; Zve_eew; vnarrowing_EEW; vnarrowing_EMUL; vnclip_op; vnclipu_op; vnop_vs2_eew_emul; vnsra_op; vnsrl_op; vtype-sew_val
cp_ssstrictv_vrgather_vd_vs1_eq,,Confrim for vrgather instructions that if vs1 and vd overlap that the encoding is reserved,"Set vs1 = vd = {v0-28} and lmul = 4 with vs2 not overlapping

vs2 not overlapping ensures that the encoding is reserved due to vs1 not vs2,  lmul of 4 ensures vrgatherei16 wont be reserved due to emul",trap,8 register bins,,,,,"For any vrgather instruction, the destination vector register group cannot overlap with the source vector register groups, otherwise the instruction encoding is reserved.",,vreg_overlap_rsv; vrgather_vreg_constr; vrgatherei16_vreg_constr
cp_ssstrictv_vrgather_vd_vs2_eq,,Confrim for vrgather.v* instructions that if vs2 and vd overlap that the encoding is reserved,"Set vs2 = vd = {v0-28} and lmul = 4 with vs1 not overlapping

vs1 not overlapping ensures that the encoding is reserved due to vs2 not vs1, lmul of 4 ensures vrgatherei16 wont be reserved due to emul",trap,8 register bins,,,,,"For any vrgather instruction, the destination vector register group cannot overlap with the source vector register groups, otherwise the instruction encoding is reserved.",,vreg_overlap_rsv; vrgather_vreg_constr; vrgatherei16_vreg_constr
cp_ssstrictv_vrgatherei16_emul_16,,Confirm if vrgatherei16 implies an emul of 16 the encoding is reserved,"run lmul = 8 and sew = 8 and vd != vs1 and vd != vs2 (all group aligned)

lmul = 8 and sew = 8 are the only values that can produce an emul of 16. Register restrictions ensure that encoding isnt reserved for other reasons ",trap,1,,,,,The vrgather.vv form uses SEW/LMUL for both the data and indices. The vrgatherei16.vv form uses SEW/LMUL for the data in vs2 but EEW=16 and EMUL = (16/SEW)*LMUL for the indices in vs1,,EMUL_rsv; vrgatherei16-vv_sew_lmul
cp_ssstrictv_vrgatherei16_emul_f16,,Confirm if vrgatherei16 implies an emul of 1/16 the encoding is reserved,"run {lmul, sew} = {(1/8, 32), (1/4, 64)} and vd != vs1 and vd != vs2 (all group aligned)

These are the two situations tha produce an emul = 1/16. Register restrictions ensure that encoding isnt reserved for other reasons ",trap,2 lmul&sew combined bins,,,,,The vrgather.vv form uses SEW/LMUL for both the data and indices. The vrgatherei16.vv form uses SEW/LMUL for the data in vs2 but EEW=16 and EMUL = (16/SEW)*LMUL for the indices in vs1,,EMUL_SEW_LMUL_dep; EMUL_rsv; vrgatherei16-vv_sew_lmul
cp_ssstrictv_masking_vd_eq_v0,,"Confrim for a ""masked vector instruction"" that vd = v0 is reserved","Run a masked vector instruction (mask enabled) with lmul = 1 and vd = v0, vd != vs1, vd != vs2, vs2 != vs1

run with lmul of 1 to ensure all other vector registers are on group and the instruction is not reserved for that reason (same with registers equaling each other)",trap,1,,,,,"The destination vector register group for a masked vector instruction cannot overlap the source mask register (v0), unless the destination vector register is being written with a mask value (e.g., compares) or the scalar result of a reduction. These instruction encodings are reserved.",,V_masked; vreg_overlap_rsv; vreg_vmask; vreg_vmask_rsv
cp_ssstrict_ls_nf_eew,,"Confirm any NFIELDS * EEW violation is checked, run on all instructions with nf and eew","Run segment load/store instructions with NFIELDS and EEW combinations where NFIELDS * EEW exceeds the implementation limit, across all segment load/store instruction variants",trap,,,,,,"The EMUL setting must be such that EMUL * NFIELDS ≤ 8, otherwise the instruction encoding is reserved.",,EMUL_NFIELDS_rsv; NFIELDS; vector_ls_EEW; vector_ls_EMUL; vector_ls_seg_indexed_EMUL_NFIELDS_val
cp_ssstrictv_masking_vd_eq_v0_lmulgt1,,Confirm for a masked vector instruction that vd = v0 with LMUL > 1 is reserved,"Run a masked vector instruction (mask enabled) with lmul = {2, 4, 8} and vd = v0, vd != vs1, vd != vs2, vs2 != vs1

Complements cp_ssstrictv_masking_vd_eq_v0 (LMUL=1) by testing higher LMUL values where the vd register group still overlaps v0",trap,3 lmul bins,,,,,,,LMUL; V_masked; vreg_overlap_rsv; vreg_vmask; vreg_vmask_rsv; vtype-lmul_val
cp_ssstrictv_ls_seg_vd_overflow,,Confirm segment load/store traps when register numbers increment past 31,"Run a segment load/store with LMUL=1 and NFIELDS/vd combinations where vd + NFIELDS > 32 (e.g., NFIELDS=2 vd=31, NFIELDS=4 vd=29, NFIELDS=8 vd=25)",trap,7 nf/vd overflow bins,,,,,,,
cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,,Confirm indexed segment load traps when destination groups overlap vs2 index register,"Run an indexed segment load with LMUL=1 and vd=8, with vs2 set to each destination register in the segment range (vs2=vd through vs2=vd+NFIELDS-1) across NFIELDS=2..8",trap,8 nf/vd/vs2 overlap bins,,,,,,,vector_ls_seg_indexed_vreg_rsv; vreg_overlap_rsv
cp_ssstrictv_ls_wr_nf_reserved,,Confirm whole register load/store traps for non-power-of-2 nf and unaligned vd,"Run a whole register load/store with nf encoding non-power-of-2 register counts (NREG=3,5,6,7). Also run with valid NREG (2,4,8) but vd not aligned to NREG",trap,4 non-pow2 nf bins + 16 vd off-group (NREG=2) + 24 vd off-group (NREG=4) + 28 vd off-group (NREG=8),,,,,,,vector_ls_seg_wholereg_nf_rsv; vector_wholels_nf_op; vmv-nr-r_nreg_rsv; vmv-nr-r_unaligned_rsv
cp_ssstrictv_vfp_frm_reserved,,Confirm vector FP instructions trap when frm contains reserved rounding mode,"Run a vector floating-point instruction with frm set to each invalid rounding mode (5, 6, 7). Also run with vl=0 and with vstart >= vl to confirm the reservation applies regardless of element activity",trap,3 frm bins x 3 conditions (normal / vl=0 / vstart>=vl),,,,,,,V_fp_frm; V_inv_frm_rsv
cp_ssstrictv_vfp_eew_unsupported,,Confirm vector FP instructions trap when operand EEW is not a supported FP type width,"Run a vector FP instruction with SEW=8 (never a valid FP width). Also run with SEW=64 when FLEN=32 (no D extension). Test under normal conditions, with vl=0, and with vstart >= vl",trap,1-2 sew bins x 3 conditions (normal / vl=0 / vstart>=vl),,,,,,,V_fp_EEW_IEEE_nsupported_rsv; V_fp_eew_rsv; vstart_vl_dep; vtype-vill_op; vtype-vill_set
cp_ssstrictv_vzext_src_reserved,,Confirm vzext instructions trap when source EEW is unsupported or source EMUL is below minimum,Run vzext.vf2/vf4/vf8 with SEW/LMUL combinations where source EEW (SEW/N) < 8 or source EMUL (LMUL/N) < 1/8. For vf2: SEW=8 or LMUL=mf8. For vf4: SEW<=16 or LMUL<=mf4. For vf8: SEW<=32 or LMUL<=mf2,trap,3 src_eew crosses (1+2+3 sew bins) + 3 src_emul crosses (1+2+3 lmul bins),,,,,,,RESERVED_VILL_SET; V_supported_eew; vzext_ill_eew_emul_rsv; vzext_vs_eew_emul
cp_ssstrictv_vadc_vsbc_vm1_reserved,,Confirm vadc/vsbc trap when encoded with vm=1 (unmasked),Run a vadc or vsbc instruction with vm=1 (the reserved unmasked encoding),trap,2 funct6 bins (vadc and vsbc) x vm=1,,,,,,,vadc_unmasked_rsv; vsbc_unmasked_rsv
cp_ssstrictv_vadc_vsbc_vd_v0_reserved,,Confirm vadc/vsbc trap when vd is v0,Run a vadc or vsbc instruction with the destination register set to v0,trap,2 funct6 bins (vadc and vsbc) x vd=v0,,,,,,,vadc_vd_v0_rsv; vsbc_vd_v0_rsv
cp_ssstrictv_vmv_vs2_not_v0_reserved,,Confirm vmv.v.v traps when vs2 is not v0,Run a vmv.v.v instruction with vs2 set to any register other than v0,trap,31 vs2 bins (v1-v31),,,,,,,vmv_vs2_nv0_rsv
cp_ssstrictv_vfp_widen_eew_unsupported,,Confirm widening/narrowing FP instructions trap when wider operand EEW is not a supported FP type,"Run a widening or narrowing vector FP instruction with SEW=32 when FLEN=32 (no D extension), so the wider operand EEW=64 is unsupported. Test under normal conditions, with vl=0, and with vstart >= vl",trap,1 sew bin x 3 conditions (normal / vl=0 / vstart>=vl),,,,,,,V_dependent_F_D; V_fp_EEW_IEEE_nsupported_rsv; V_fp_eew_rsv; Vf_requrires_Vx; Zve32f_dependent_F; vstart_vl_dep; vwop_vd_eew_emul
cp_ssstrictv_vfmv_vs2_not_v0_reserved,,Confirm vfmv.v.f traps when vs2 is not v0,Run a vfmv.v.f instruction with vs2 set to any register other than v0,trap,31 vs2 bins (v1-v31),,,,,,,epc_op_V_trap; vfmv_vs2_nv0_rsv; vstart_op_V_trap
cp_ssstrictv_mask_logical_vm0_reserved,,Confirm mask logical instructions trap when vm=0,Run a vector mask logical instruction (vmand/vmnand/vmandn/vmxor/vmor/vmnor/vmorn/vmxnor) with vm=0 (masked encoding),trap,8 funct6 bins x vm=0,,,,,,,vmasklogical_masked_rsv; vmasklogical_unmasked
cp_ssstrictv_vid_vs2_not_v0_reserved,,Confirm vid.v traps when vs2 is not v0,Run a vid.v instruction with vs2 set to any register other than v0,trap,31 vs2 bins (v1-v31),,,,,,,vid_vs2_nv0_rsv
cp_ssstrictv_vmv_xs_sx_vm0_reserved,,Confirm vmv.x.s and vmv.s.x trap when vm=0,Run a vmv.x.s or vmv.s.x instruction with vm=0 (masked encoding),trap,2 funct3 bins x vm=0,,,,,,,vmv-s-x_masked_rsv; vmv-x-s_masked_rsv
cp_ssstrictv_vfmv_fs_sf_vm0_reserved,,Confirm vfmv.f.s and vfmv.s.f trap when vm=0,Run a vfmv.f.s or vfmv.s.f instruction with vm=0 (masked encoding),trap,2 funct3 bins x vm=0,,,,,,,vfmv-s-f_masked_rsv
cp_ssstrictv_vslideup_vd_vs2_overlap,,Confirm vslideup traps when destination register group overlaps source register group,"Run a vslideup instruction where the vd register group overlaps the vs2 register group, at each LMUL={1,2,4,8}",trap,4 LMUL bins (1 overlap per LMUL),,,,,,,
cp_ssstrictv_vrgather_vd_vs2_overlap,,Confirm vrgather traps when destination register group overlaps vs2 register group,"Run a vrgather instruction where the vd register group overlaps the vs2 register group, at each LMUL={1,2,4,8}",trap,4 LMUL bins (1 overlap per LMUL),,,,,,,LMUL; vreg_overlap_rsv; vrgather_vreg_constr
cp_ssstrictv_vrgather_vd_vs1_overlap,,Confirm vrgather.vv traps when destination register group overlaps vs1 register group,"Run a vrgather.vv instruction where the vd register group overlaps the vs1 register group, at each LMUL={1,2,4,8}",trap,4 LMUL bins (1 overlap per LMUL),,,,,,,
cp_ssstrictv_vcompress_vd_vs2_overlap,,Confirm vcompress traps when destination register group overlaps source register group,"Run a vcompress instruction where the vd register group overlaps the vs2 register group, at each LMUL={1,2,4,8}",trap,4 LMUL bins (1 overlap per LMUL),,,,,,,LMUL; vcompress_vreg_constr; vreg_lmulge2_op; vreg_overlap_rsv
cp_ssstrictv_vcompress_vd_v0_overlap,,Confirm vcompress traps when destination register group overlaps source mask register (v0),"Run a vcompress instruction where the vd register group overlaps v0 (the source mask register), at each LMUL={1,2,4,8}",trap,4 LMUL bins (vd=v0 at each LMUL),,,,,,,
cp_ssstrictv_vmvnr_simm_reserved,,Confirm whole register move traps when simm[4:0] is a reserved value,Run a vmv<nr>r.v instruction with simm[4:0] set to a value other than 0/1/3/7 (the reserved encodings),trap,28 reserved simm bins (all simm values except 0/1/3/7),,,,,,,epc_op_V_trap; vmv-nr-r_nreg_rsv; vstart_op_V_trap
cp_ssstrictv_vmvnr_reg_align,,Confirm whole register move traps when both vd and vs2 are misaligned for the register group size,Run vmv2r.v/vmv4r.v/vmv8r.v with both vd and vs2 unaligned for the NREG group size (not divisible by NREG),trap,3 NREG variants x all unaligned vd x all unaligned vs2,,,,,,,vmv-nr-r_unaligned_rsv; vmv-nr-r_vreg_constr; vreg_offgroup_LMUL2_rsv; vreg_offgroup_LMUL4_rsv; vreg_offgroup_LMUL8_rsv
cp_ssstrictv_vcsr_reserved_bits,,Confirm vcsr top XLEN-3 bits are reserved and read as zero,"Write vcsr via CSRRx with non-zero values in bits [XLEN-1:3], confirm they read back as zero",no trap,1 bin (upper bits zero after write with non-zero source),,,,,,,vcsr-vxrm_acc; vcsr-vxsat_acc
cp_ssstrictv_masking_vd_v0_overlap,,Confirm masked vector instruction traps when vd=v0 at any LMUL,"Run a masked vector instruction with vd=v0 at each LMUL={1,2,4,8} where vd != vs1 and vd != vs2",trap,4 LMUL bins (vd=v0 masked at each LMUL),,,,,,,
cp_ssstrictv_lmulgt1_off_group,,Confirm vector instructions trap when register specifier is not aligned to LMUL group size,"Run a vector instruction with LMUL={2,4,8} where vd, vs1, or vs2 is not aligned to the register group size (e.g., odd register for LMUL=2)",trap,"9 crosses: 3 LMUL values x 3 register operands (vd, vs1, vs2), each with all unaligned registers",,,,,,,EMUL_offgroup_rsv; vreg_offgroup_LMUL2_rsv; vreg_offgroup_LMUL4_rsv; vreg_offgroup_LMUL8_rsv
cp_ssstrictv_ls_eew_2x_elen,,Confirm that all load/store trap when violating EEW = 2 * ELEN,"Run vector load/store instructions with EEW encoded in the width field set to 2 * ELEN (e.g., if ELEN=64, attempt EEW=128 encoding)",trap,,,,,,"Vector loads and stores have an EEW encoded directly in the instruction. If the EEW is not a supported width, the instruction encoding is reserved.",,vector_ls_EEW; vector_ls_ins_rsv; vector_ls_mew_rsv
cp_ssstrictv_ls_emul_16,,Confirm that all load/store trap when EMUL = 16,"Run vector load/store instructions with SEW/LMUL/EEW combinations producing (EEW/SEW)*LMUL = 16 (e.g., EEW=64, SEW=8, LMUL=2)",trap,,,,,,"If the EMUL would be out of range (EMUL>8 or EMUL<1/8), the instruction encoding is reserved",,EEW_SEW_LMUL_dep; EMUL_SEW_LMUL_dep; EMUL_rsv; vector_ls_EMUL; vector_ls_EMUL_rsv
cp_ssstrictv_ls_emul_f16,,Confirm that all load/store trap when EMUL = 1/16,"Run vle8/vse8 with {SEW=16/LMUL=1/8, SEW=32/LMUL=1/4, SEW=64/LMUL=1/2} to produce EMUL=1/16 (out of range, must trap)",trap,3 SEW/LMUL bins,,,,,"If the EMUL would be out of range (EMUL>8 or EMUL<1/8), the instruction encoding is reserved",,EEW_SEW_LMUL_dep; EMUL_SEW_LMUL_dep; vector_ls_EMUL; vector_ls_EMUL_rsv
cp_ssstrictv_ls_emul_nfields_16,,Confirm that using 16 registers with strided insturctions is reserved,"Run segment load/store instructions with EMUL and NFIELDS combinations where EMUL * NFIELDS > 8 (e.g., EMUL=2, NFIELDS=5)",trap,,,,,,"The EMUL setting must be such that EMUL * NFIELDS ≤ 8, otherwise the instruction encoding is reserved.",,EMUL_NFIELDS_rsv
cp_ssstrictv_vslide1up_vd_vs2_overlap,,Confirm vslide1up traps when destination register group overlaps source register group,"Run vslide1up.vx with LMUL={1,2,4,8} where vd register group overlaps vs2 register group",trap,"4 crosses: LMUL=1 (vd==vs2), LMUL=2 (group overlap), LMUL=4 (group overlap), LMUL=8 (group overlap)",,,,,The vslide1up instruction requires that the destination vector register group does not overlap the source vector register group. Otherwise the instruction encoding is reserved.,,LMUL; epc_op_V_trap; vreg_overlap_rsv; vslide1up-vx_vreg_constr; vstart_op_V_trap
cp_ssstrictv_vcompress_vstart_nonzero,,Confirm that vcompress with non-zero vstart raises an illegal instruction exception,Run a vcompress instruction with vstart != 0,trap,1 cross: vstart nonzero × trap × vcompress encoding,,,,,Executing a vcompress instruction with a non-zero vstart raises an illegal instruction exception.,,vcompress_trap; vcompress_vstart_n0_ill
cp_ssstrictv_vcompress_vstart_report_zero,,Confirm that a trap on vcompress is always reported with vstart of 0,Run a vcompress instruction that traps and verify vstart is 0 after the trap,trap,1 cross: vcompress encoding × trap × vstart=0 after,,,,,A trap on a vcompress instruction is always reported with a vstart of 0.,,vcompress_trap; vstart_op_V_trap
cp_ssstrictv_vmvnr_off_group,,Confirm that vmv<nr>r.v instructions trap with off-group base registers,"Run vmv2r.v, vmv4r.v, vmv8r.v with vd or vs2 not aligned to NREG.
For vmv2r.v: vd or vs2 must be divisible by 2
For vmv4r.v: vd or vs2 must be divisible by 4
For vmv8r.v: vd or vs2 must be divisible by 8",trap,16 vd off-group + 24 vs2 off-group,,,,,"Whole register move: The source and destination vector register numbers must be aligned appropriately for the vector register group size, and encodings with other vector register numbers are reserved.",,RESERVED_VILL_SET; vmv-nr-r_unaligned_rsv; vmv-nr-r_vreg_constr; vreg_offgroup_LMUL2_rsv; vreg_offgroup_LMUL4_rsv; vreg_offgroup_LMUL8_rsv
cp_ssstrictv_ls_seg_idx_vd_vs2_grp_overlap,,Confirm that indexed segment loads with EMUL>1 trap when any destination register group overlaps the vs2 index register group,Set LMUL=2 and execute an indexed segment load where vs2 falls within one of the destination register groups (each spanning EMUL=2 registers),trap,8 overlap scenarios across nf=2/3/4,,,,,"For vector indexed segment loads, the destination vector register groups cannot overlap the source vector register group (specified by vs2), else the instruction encoding is reserved.",,vector_ls_seg_indexed_vreg_rsv; vreg_overlap_rsv
cp_ssstrictv_reserved_vcsrs,,Confirm CSR addresses 0x00B-0x00E raise illegal instruction exceptions,"Attempt to read/write CSR addresses 0x00B, 0x00C, 0x00D, 0x00E (reserved for future vector CSRs) and confirm each raises an illegal instruction trap",trap,4 CSR address bins,,,,,,,
cp_ssstrictv_vsetvli_reserved_vsew,,Confirm vsetvli/vsetivli with vsew[2:0] = 1xx sets vill,"Run vsetvli or vsetivli with vsew field set to 3'b100, 3'b101, 3'b110, 3'b111 (reserved encodings) and verify vill is set to 1",vill set,4 vsew bins,,,,,,,vset_op; vtype-vill_set; vtype-vsew_rsv; vtype_acc
cp_ssstrictv_vsetvli_lmul_sew_ratio,,Confirm vsetvli with unsupported LMUL/SEW ratio sets vill,"Run vsetvli with LMUL and SEW combinations where LMUL < minSEW/ELEN (the ratio is unsupported), and verify vill is set",vill set,Cross of all LMUL x SEW combinations,,,,,,,vset_op; vtype-lmul_fval_rsv; vtype-sew_val; vtype-vill_set
cp_ssstrictv_ls_eew_lt_sewmin,,Confirm vector load/store instructions trap when EEW < SEWMIN,"Execute a vector load/store instruction with EEW (encoded in width field) smaller than the minimum supported SEW (SEWMIN). For example, vle8.v when SEWMIN > 8",trap,Should trap as reserved encoding,,,,,"Vector loads and stores have an EEW encoded directly in the instruction. If the EEW is not a supported width, the instruction encoding is reserved.",,Zve_eew; vector_ls_EEW; vector_ls_EEW_rsv; vector_ls_ins_req; vector_ls_ins_rsv
cp_ssstrictv_ls_mew_reserved,,Confirm vector load/store instructions trap when mew bit is set,Run a vector load or store instruction with mew=1 (bit 28 of instruction) and confirm the encoding is reserved,trap,1 bin,,,,,,,vector_ls_mew_rsv
